"[[46.97586000000007, -123.81597999999997]]"
"[[44.09856000000008, -70.21833999999996], [44.09776000000005, -70.22931999999997]]"
"[[38.04859000000005, -84.50031999999999], [38.042272162000074, -84.45868673399997]]"
"[[40.74269000000004, -84.10744999999997]]"
"[[40.81362000000007, -96.70729999999998]]"
"[[34.74870000000004, -92.27484999999996], [34.75605000000007, -92.26711999999998], [35.09098000000006, -92.43968999999998]]"
"[[41.73691000000008, -111.83481999999998]]"
"[[37.127230000000054, -84.08382999999998]]"
"[[46.14681000000007, -122.95057999999995]]"
"[[32.50064000000003, -94.74060999999995]]"
"[[34.05349000000007, -118.24531999999999], [33.76672000000008, -118.19239999999996], [33.83286000000004, -117.91523999999998]]"
"[[38.254890000000046, -85.76665999999994]]"
"[[33.58451000000008, -101.84500999999995]]"
"[[31.342390000000023, -94.71825999999999]]"
"[[34.61892000000006, -79.01385999999997]]"
"[[37.41420000000005, -79.14299999999997]]"
"[[32.839980000000025, -83.62807999999995], [32.80663591500007, -83.69775904499994]]"
"[[36.96205000000003, -120.06398999999999]]"
"[[43.07313000000005, -89.38643999999994]]"
"[[42.99120000000005, -71.46309999999994], [42.75881000000004, -71.46441999999996]]"
"[[39.178810000000055, -96.56183999999996]]"
"[[44.10787000000005, -87.66171999999995]]"
"[[44.16740000000004, -94.00240999999994], [44.170030000000054, -94.01490999999999]]"
"[[40.75854000000004, -82.51523999999995]]"
"[[45.09976000000006, -87.63300999999996]]"
"[[40.58382000000006, -83.12851999999998]]"
"[[40.55881000000005, -85.66066999999998]]"
"[[46.545840000000055, -87.41262999999998]]"
"[[32.54634000000004, -94.35010999999997]]"
"[[36.68996000000004, -79.86880999999994]]"
"[[18.203680000000077, -67.14689999999996]]"
"[[26.20742000000007, -98.22935999999999], [26.301180000000045, -98.16080999999997], [26.21556000000004, -98.32574999999997]]"
"[[41.636510000000044, -80.15156999999994]]"
"[[42.32356000000004, -122.87561]]"
"[[35.14976000000007, -90.04924999999997]]"
"[[37.30152000000004, -120.48689999999999]]"
"[[32.365080000000034, -88.70307999999994]]"
"[[25.77481000000006, -80.19772999999998], [26.123880000000042, -80.14356999999995], [26.71440000000007, -80.05328999999995]]"
"[[41.71936000000005, -86.90316999999999], [41.60954000000004, -86.72138999999999]]"
"[[43.617080000000044, -84.24505999999997]]"
"[[32.00002000000006, -102.07445999999999]]"
"[[43.04200000000003, -87.90686999999997], [43.01458000000008, -88.23547999999994], [43.01666000000006, -88.00630999999998]]"
"[[44.97902000000005, -93.26493999999997], [44.94339000000008, -93.09647999999999], [44.821120000000064, -93.30553999999995]]"
"[[48.23610000000008, -101.29609999999997]]"
"[[46.872780000000034, -113.99624999999997]]"
"[[30.686480000000074, -88.05296999999996]]"
"[[37.64155000000005, -121.00345999999996]]"
"[[32.50983000000008, -92.11878999999999]]"
"[[41.91606000000007, -83.39789999999994]]"
"[[32.38015000000007, -86.30007999999998]]"
"[[34.721790000000055, -76.71757999999994]]"
"[[39.63053000000008, -79.95770999999996]]"
"[[36.215040000000045, -83.29304999999994]]"
"[[47.13196000000005, -119.27709999999996]]"
"[[36.49930000000006, -80.60728999999998]]"
"[[43.597230000000025, -84.76814999999993]]"
"[[48.42122000000006, -122.33404999999999], [48.517480000000035, -122.61213999999995]]"
"[[40.193160000000034, -85.38172999999995]]"
"[[43.23425000000003, -86.24481999999995]]"
"[[35.74848000000003, -95.36904999999996]]"
"[[33.69373000000007, -78.88231999999994], [33.834700000000055, -79.05040999999994], [33.82766000000004, -78.68489999999997]]"
"[[31.60378000000003, -94.65589999999997]]"
"[[38.29911000000004, -122.28540999999996]]"
"[[26.13934000000006, -81.79582999999997], [26.418580000000077, -81.41995999999995], [25.954090000000065, -81.72462999999993]]"
"[[36.16784000000007, -86.77815999999996], [36.56812000000008, -85.02244999999994], [34.11631798800005, 9.60851649600005], [35.84508000000005, -86.39502999999996], [34.11631798800005, 9.60851649600005], [35.924480000000074, -86.87046999999995]]"
"[[35.10847000000007, -77.04150999999996]]"
"[[41.00197000000003, -80.34723999999994]]"
"[[41.308010000000024, -72.92431999999997], [41.22515000000004, -73.05727999999993]]"
"[[29.953700000000026, -90.07774999999998], [29.988420000000076, -90.13148999999999]]"
"[[40.48976000000005, -81.44638999999995], [40.52126000000004, -81.47309999999999]]"
"[[40.71455000000003, -74.00713999999994], [43.04632000000004, -77.09521999999998], [40.74336799506455, -74.04577369650848]]"
"[[41.82865000000004, -86.24872999999997], [42.115530000000035, -86.45747999999998]]"
"[[27.075140000000033, -82.20680999999996], [27.33889000000005, -82.53886999999997], [27.49550000000005, -82.57806999999997]]"
"[[36.16100000000006, -81.14276999999998]]"
"[[41.526760000000024, -72.07567999999998], [41.35650000000004, -72.09625999999997]]"
"[[48.29061000000007, -122.64721999999995]]"
"[[29.18775000000005, -82.14040999999997]]"
"[[39.27940000000007, -74.57554999999996]]"
"[[31.849150000000066, -102.37518999999998]]"
"[[41.222570000000076, -111.97046999999998], [41.11384000000004, -112.02211999999997]]"
"[[44.69384000000008, -75.48959999999994], [44.931340000000034, -74.89283999999998]]"
"[[35.472030000000075, -97.52106999999995]]"
"[[42.07761000000005, -78.42813999999998]]"
"[[47.03956000000005, -122.89165999999994], [46.98541000000006, -122.91221999999999]]"
"[[41.260680000000036, -95.94025999999997], [41.3988705, -99.6224535]]"
"[[30.533000000000072, -92.08234999999996]]"
"[[33.48935000000006, -80.86471999999998]]"
"[[28.538230000000055, -81.37738999999993], [28.294460000000072, -81.40675999999996], [28.81397000000004, -81.26804999999996]]"
"[[44.024910000000034, -88.54442999999998], [44.18632000000008, -88.46172999999999]]"
"[[41.34656000000007, -88.84265999999997], [41.327620000000024, -89.12849999999997]]"
"[[37.77421000000004, -87.11350999999996]]"
"[[42.99758000000003, -84.17624999999998]]"
"[[34.20034000000004, -119.18011999999999], [34.17570000000006, -118.84808999999996], [34.28082000000006, -119.29231999999996]]"
"[[37.08571000000006, -88.59584999999998]]"
"[[29.648580000000038, -81.63736999999998]]"
"[[27.999900000000025, -80.67261999999994], [28.079440000000034, -80.60755999999998], [28.608030000000042, -80.80769999999995]]"
"[[30.15987000000007, -85.66032999999999]]"
"[[39.263720000000035, -81.55856999999997], [39.325000000000045, -81.54882999999995]]"
"[[30.420840000000055, -87.21722999999997], [30.510230000000035, -87.22006999999996], [30.464200000000062, -87.24130999999994]]"
"[[40.692360000000065, -89.58798999999999]]"
"[[39.95222000000007, -75.16217999999998], [40.33979000000005, -79.89698999999996], [39.961862999999994, -76.7558565]]"
"[[33.44825000000003, -112.07579999999996], [33.41704000000004, -111.83145999999999], [33.49400000000003, -111.92068999999998]]"
"[[34.22353000000004, -92.00339999999994]]"
"[[35.19130000000007, -79.47197999999997], [35.17441000000008, -79.39146999999997]]"
"[[40.438510000000065, -79.99733999999995]]"
"[[42.44771000000003, -73.25413999999995]]"
"[[44.699130000000025, -73.45302999999996]]"
"[[42.874970000000076, -112.45055999999994]]"
"[[18.01165000000003, -66.61441999999994]]"
"[[48.11872000000005, -123.43129999999996]]"
"[[27.27481000000006, -80.36366999999996]]"
"[[43.65915000000007, -70.25667999999996], [43.63763000000006, -70.25174999999996]]"
"[[45.511790000000076, -122.67562999999996], [42.325451863051086, -122.860368], [45.52268000000004, -122.99043999999998]]"
"[[38.74535000000003, -82.99272999999994]]"
"[[40.685460000000035, -76.19538999999997]]"
"[[34.54142000000007, -112.46873]]"
"[[41.823870000000056, -71.41198999999995], [41.69897000000003, -71.46205999999995]]"
"[[40.233700000000056, -111.66888999999998], [40.298820000000035, -111.69574999999998]]"
"[[38.26375000000007, -104.61251999999996]]"
"[[26.932950000000062, -82.05288999999993]]"
"[[39.93559000000005, -91.39582999999999]]"
"[[42.725640000000055, -87.78954999999996]]"
"[[35.78549000000004, -78.64271999999994]]"
"[[44.08146000000005, -103.23079999999999]]"
"[[40.33662000000004, -75.92783999999995]]"
"[[40.587600000000066, -122.39254999999997]]"
"[[39.527660000000026, -119.81352999999996]]"
"[[37.540680000000066, -77.43366999999995]]"
"[[39.83041000000003, -84.89028999999994]]"
"[[37.74881000000005, -84.29756999999995], [37.57030000000003, -84.29270999999994]]"
"[[33.98171000000008, -117.37403999999998], [34.10524000000004, -117.29411999999996], [50.926163435000035, -84.74492999999995]]"
"[[37.271520000000066, -79.94056999999998]]"
"[[36.47628000000003, -77.64626999999996]]"
"[[43.155800000000056, -77.61631999999997]]"
"[[44.01932000000005, -92.45941999999997]]"
"[[42.26690000000008, -89.07739999999995]]"
"[[35.948840000000075, -77.79498999999998]]"
"[[34.244890000000055, -85.16678999999993]]"
"[[43.21089000000006, -123.34326999999996]]"
"[[33.39509000000004, -104.52274999999997]]"
"[[35.27829000000003, -93.13480999999996]]"
"[[38.579440000000034, -121.49084999999997], [60.108670000000075, -113.64257999999995], [38.74897000000004, -121.28402999999997], [60.108670000000075, -113.64257999999995], [44.720920000000035, -76.92406999999997], [38.61045000000007, -121.38308999999998]]"
"[[43.41940000000005, -83.94651999999996]]"
"[[40.90098000000006, -80.85578999999996]]"
"[[44.933260000000075, -123.04380999999995]]"
"[[36.670870000000036, -121.65482999999995]]"
"[[38.36573000000004, -75.59531999999996]]"
"[[40.76031000000006, -111.88821999999999]]"
"[[31.461500000000058, -100.44241999999997]]"
"[[29.42458000000005, -98.49460999999997], [29.698870000000056, -98.12093999999996]]"
"[[32.71568000000008, -117.16170999999997], [33.16588000000007, -117.33821999999998]]"
"[[37.777120000000025, -122.41963999999996], [37.80508000000003, -122.27306999999996], [37.67134000000004, -122.08555999999999]]"
"[[18.111096150000037, -67.03845080199994]]"
"[[37.33865000000003, -121.88541999999995], [37.37172000000004, -122.03799999999995], [37.35579000000007, -121.95508999999998]]"
"[[18.466330000000028, -66.10472999999996], [18.380780000000073, -65.95738999999998], [18.226540000000057, -66.03745999999995]]"
"[[35.28579000000008, -120.66274999999996], [35.625410000000045, -120.69128999999998], [35.12435000000005, -120.57683999999995]]"
"[[41.44876000000005, -82.70736999999997]]"
"[[36.974240000000066, -122.03097999999994], [36.90903000000003, -121.75551999999999]]"
"[[35.691770000000076, -105.93823999999995]]"
"[[34.953130000000044, -120.43452999999994], [34.41938000000005, -119.69904999999994]]"
"[[38.43808000000007, -122.71246999999994]]"
"[[32.080910000000074, -81.09118999999998]]"
"[[41.410150000000044, -75.66077999999999], [8.939604460000055, -79.97292613699994], [41.97491203216697, -76.79706046481736], [40.25889450000001, -76.8456135], [8.939604460000055, -79.97292613699994], [40.95479000000006, -75.97678999999994]]"
"[[35.25081000000006, -91.74022999999994]]"
"[[47.60357000000005, -122.32944999999995], [47.255130000000065, -122.44163999999995], [47.61002000000008, -122.18790999999999]]"
"[[27.817170000000033, -80.47401999999994], [27.638850000000048, -80.39395999999994]]"
"[[27.495970000000057, -81.44078999999994]]"
"[[34.68548000000004, -82.95567999999997]]"
"[[35.869260000000054, -83.56766999999996]]"
"[[35.33200000000005, -96.92483999999996]]"
"[[43.749780000000044, -87.71342999999996]]"
"[[35.291750000000036, -81.54019999999997]]"
"[[47.21248000000003, -123.10564999999997]]"
"[[33.63604000000004, -96.60912999999994], [33.760380000000055, -96.53661999999997]]"
"[[34.25045000000006, -110.04251999999997]]"
"[[32.51487000000003, -93.74688999999995], [32.51594000000006, -93.73537999999996]]"
"[[31.569420000000036, -110.27467999999999], [31.344470000000058, -109.55163999999996]]"
"[[42.499900000000025, -96.42085999999995]]"
"[[43.54577000000006, -96.73127999999997]]"
"[[40.00846000000007, -79.07910999999996]]"
"[[41.679070000000024, -86.25404999999995], [41.66017000000005, -86.17216999999994]]"
"[[34.94838000000004, -81.93493999999998]]"
"[[47.657260000000065, -117.41227999999995], [47.65713000000005, -117.24785999999995]]"
"[[42.10125000000005, -72.58928999999995]]"
"[[39.801300000000026, -89.64359999999994]]"
"[[39.92503000000005, -83.80672999999996]]"
"[[37.20897000000008, -93.29158999999999]]"
"[[45.56586000000004, -94.19751999999994]]"
"[[37.10415000000006, -113.58411999999998]]"
"[[39.76660000000004, -94.85606999999999]]"
"[[38.62775000000005, -90.19955999999996]]"
"[[40.79373000000004, -77.86069999999995]]"
"[[32.44891000000007, -81.78332999999998]]"
"[[38.150010000000066, -79.07271999999995], [38.06547000000006, -78.89097999999996]]"
"[[44.52412000000004, -89.57478999999995]]"
"[[36.11665000000005, -97.05862999999994]]"
"[[37.953730000000064, -121.29045999999994], [38.13018000000005, -121.27551999999997]]"
"[[33.92438000000004, -80.34318999999994]]"
"[[40.86276000000004, -76.79619999999994]]"
"[[43.05042000000003, -76.14737999999994]]"
"[[33.434510000000046, -86.10268999999994], [33.171560000000056, -86.25024999999994]]"
"[[30.439770000000067, -84.28064999999998]]"
"[[27.946530000000052, -82.45926999999995], [27.771190000000047, -82.63875999999993], [27.965580000000045, -82.79974999999996]]"
"[[39.46649000000008, -87.41300999999999]]"
"[[33.425580000000025, -94.04824999999994]]"
"[[28.908370000000048, -81.97431999999998]]"
"[[41.65381000000008, -83.53625999999997]]"
"[[39.04928000000007, -95.67117999999994]]"
"[[41.80137000000008, -73.08619999999996]]"
"[[44.75999000000007, -85.61583999999993]]"
"[[40.21788000000004, -74.75939999999997]]"
"[[39.32612000000006, -120.21214999999995], [39.21926000000008, -121.06149999999997]]"
"[[32.22177000000005, -110.96976999999998]]"
"[[35.36240000000004, -86.21200999999996], [35.475970000000075, -86.08068999999995]]"
"[[36.15011000000004, -95.99351999999999]]"
"[[34.25741000000005, -88.70782999999994]]"
"[[33.210420000000056, -87.56624999999997]]"
"[[42.55619000000007, -114.46959999999996]]"
"[[32.34763000000004, -95.29429999999996]]"
"[[39.15093000000007, -123.2079]]"
"[[21.30493000000007, -157.85787999999997]]"
"[[43.095890000000054, -75.24257999999998], [43.215160000000026, -75.45335999999998]]"
"[[30.83472000000006, -83.28091999999998]]"
"[[38.10095000000007, -122.25494999999995], [38.24924000000004, -122.04429999999996]]"
"[[28.805940000000078, -97.00356999999997]]"
"[[39.48619000000008, -75.02613999999994], [39.42947000000004, -75.23405999999994]]"
"[[36.75528000000003, -76.05961999999994], [36.84686000000005, -76.28513999999996], [37.08358000000004, -76.48064999999997]]"
"[[36.33377000000007, -119.29258999999996], [36.07096000000007, -119.01619]]"
"[[31.57182000000006, -97.14949999999999]]"
"[[46.07068000000004, -118.34260999999998]]"
"[[32.62098000000003, -83.59989999999993]]"
"[[41.23881000000006, -85.85278999999997]]"
"[[38.890370000000075, -77.03195999999997], [32.735600000000034, -97.10771999999997], [4.740190000000041, -74.03078999999997]]"
"[[42.49329000000006, -92.34193999999997], [42.52833000000004, -92.44555999999994]]"
"[[43.19736000000006, -88.72046999999998], [42.92637000000008, -88.83700999999996]]"
"[[43.97586000000007, -75.91427999999996], [44.03764000000007, -75.76747999999998]]"
"[[44.95953000000003, -89.63030999999995]]"
"[[40.41871000000003, -80.58947999999998], [40.369620000000054, -80.63842999999997]]"
"[[47.41494000000006, -120.30521999999996]]"
"[[40.06398000000007, -80.72140999999993]]"
"[[42.835000000000036, -88.73811999999998], [42.671880000000044, -88.54542999999995]]"
"[[37.68698000000006, -97.33557999999994]]"
"[[33.908300000000054, -98.50098999999994]]"
"[[41.24094000000008, -77.00140999999996]]"
"[[34.23497000000003, -77.94599999999997]]"
"[[35.721960000000024, -77.91636999999997]]"
"[[39.184000000000026, -78.16404999999997]]"
"[[34.82170752490858, -79.31381964004522], [35.69862000000006, -81.69677999999999]]"
"[[44.39319000000006, -89.81636999999995], [44.66698000000008, -90.17362999999995]]"
"[[40.80612000000008, -81.93436999999994]]"
"[[42.26341000000008, -71.80218999999994]]"
"[[46.60448000000008, -120.50720999999999]]"
"[[39.964530000000025, -76.72429999999997], [39.800740000000076, -76.98285999999996]]"
"[[41.098100000000045, -80.65078999999997], [41.23621000000003, -80.81238999999994], [41.02436000000006, -80.65997999999996]]"
"[[39.14094000000006, -121.61984999999999]]"
"[[32.68549000000007, -114.62460999999996]]"
"[[39.940540000000055, -82.00138999999996]]"
